Rank,Experimento,Configuração,Acc@1neg,Acc@2neg,Acc@3neg,Gap (Mean),Gap (Median)
14,siglip_combined_tw03,SigLIP | sigmoid+TW0.3,0.9380530973451328,0.911504424778761,0.9026548672566371,0.23200387129048217,0.280116468667984
15,clip_vit_b32_combined_tw01_noaug,CLIP-B/32 | infonce+TW0.1 | NoAug,0.9469026548672567,0.9203539823008849,0.8938053097345132,0.17452192594225352,0.21581048518419266
16,siglip_sigmoid,SigLIP | sigmoid,0.9380530973451328,0.8938053097345132,0.8849557522123894,0.22788033294405363,0.2599729746580124
17,siglip_combined_tw02,SigLIP | sigmoid+TW0.2,0.9380530973451328,0.8938053097345132,0.8849557522123894,0.23078295037802077,0.27373558282852173
18,siglip_combined_tw04,SigLIP | sigmoid+TW0.4,0.9469026548672567,0.8938053097345132,0.8849557522123894,0.21642756984522782,0.26175424456596375
19,clip_vit_b32_combined_tw04_noaug,CLIP-B/32 | infonce+TW0.4 | NoAug,0.9469026548672567,0.911504424778761,0.8849557522123894,0.17507336721955669,0.21676260977983475
20,clip_vit_b32_infonce_noaug,CLIP-B/32 | infonce | NoAug,0.9469026548672567,0.911504424778761,0.8849557522123894,0.17472078361827675,0.2155393660068512
21,clip_vit_b32_combined_tw02_noaug,CLIP-B/32 | infonce+TW0.2 | NoAug,0.9469026548672567,0.911504424778761,0.8849557522123894,0.1743682569730771,0.21676664799451828
22,clip_vit_b32_combined_tw05_noaug,CLIP-B/32 | infonce+TW0.5 | NoAug,0.9469026548672567,0.911504424778761,0.8849557522123894,0.1745460502947822,0.21568293496966362
23,clip_vit_b32_combined_tw03_noaug,CLIP-B/32 | infonce+TW0.3 | NoAug,0.9469026548672567,0.911504424778761,0.8849557522123894,0.1744760613674994,0.21717184036970139
24,tinyclip_combined_tw03_noaug,TinyCLIP | infonce+TW0.3 | NoAug,0.9734513274336283,0.9292035398230089,0.8761061946902655,0.28513729344032557,0.38370756804943085
25,tinyclip_combined_tw05_noaug,TinyCLIP | infonce+TW0.5 | NoAug,0.9734513274336283,0.9292035398230089,0.8761061946902655,0.2846943115607269,0.3851503059267998
26,tinyclip_combined_tw04_noaug,TinyCLIP | infonce+TW0.4 | NoAug,0.9734513274336283,0.9292035398230089,0.8761061946902655,0.28488218211417377,0.3805655837059021
27,siglip_combined_tw05,SigLIP | sigmoid+TW0.5,0.9380530973451328,0.8938053097345132,0.8761061946902655,0.2413198058898316,0.300015851855278
28,tinyclip_infonce_noaug,TinyCLIP | infonce | NoAug,0.9734513274336283,0.9292035398230089,0.8761061946902655,0.28511014167236104,0.3835919722914696
29,siglip_combined_tw04_noaug,SigLIP | sigmoid+TW0.4 | NoAug,0.9203539823008849,0.911504424778761,0.8761061946902655,0.22137750356526414,0.2665354013442993
30,clip_vit_b16_frozen_eval,CLIP-B/16 | Frozen,0.911504424778761,0.8761061946902655,0.8672566371681416,,
31,tinyclip_combined_tw02_noaug,TinyCLIP | infonce+TW0.2 | NoAug,0.9734513274336283,0.9203539823008849,0.8672566371681416,0.28515173927994886,0.3830120414495468
32,tinyclip_combined_tw01_noaug,TinyCLIP | infonce+TW0.1 | NoAug,0.9734513274336283,0.9203539823008849,0.8672566371681416,0.28517418489233193,0.3822729289531708
33,siglip_combined_tw05_noaug,SigLIP | sigmoid+TW0.5 | NoAug,0.9026548672566371,0.8938053097345132,0.8584070796460177,0.22168717376226893,0.2679961323738098
34,siglip_combined_tw01_noaug,SigLIP | sigmoid+TW0.1 | NoAug,0.911504424778761,0.8938053097345132,0.8584070796460177,0.19763328530195268,0.23047307133674622
35,siglip_combined_tw02_noaug,SigLIP | sigmoid+TW0.2 | NoAug,0.911504424778761,0.8938053097345132,0.8584070796460177,0.24156670481938425,0.2851690351963043
36,siglip_combined_tw03_noaug,SigLIP | sigmoid+TW0.3 | NoAug,0.9026548672566371,0.8938053097345132,0.8584070796460177,0.24314545042940722,0.2886258065700531
37,siglip_sigmoid_noaug,SigLIP | sigmoid | NoAug,0.9026548672566371,0.8672566371681416,0.831858407079646,0.19744113627416654,0.2321304976940155
38,clip_vit_b32_frozen_eval,CLIP-B/32 | Frozen,0.9026548672566371,0.831858407079646,0.7876106194690266,,
39,tinyclip_frozen_eval,TinyCLIP | Frozen,0.8584070796460177,0.7876106194690266,0.7699115044247787,,
40,siglip_frozen_eval,SigLIP | Frozen,0.5486725663716814,0.36283185840707965,0.30973451327433627,,
