name,path,best_epoch,best_metric,model_type,model_name,loss_type,use_triplet,triplet_weight,freeze_vision,freeze_text,use_augmentation,epochs,val_accuracy_1_neg,val_eer_1_neg,val_eer_threshold_1_neg,val_auc_1_neg,val_mrr_1_neg,val_ndcg_1_neg,val_recall@1_1_neg,val_recall@5_1_neg,val_recall@10_1_neg,val_accuracy_2_neg,val_eer_2_neg,val_eer_threshold_2_neg,val_auc_2_neg,val_mrr_2_neg,val_ndcg_2_neg,val_recall@1_2_neg,val_recall@5_2_neg,val_recall@10_2_neg,val_accuracy_3_neg,val_eer_3_neg,val_eer_threshold_3_neg,val_auc_3_neg,val_mrr_3_neg,val_ndcg_3_neg,val_recall@1_3_neg,val_recall@5_3_neg,val_recall@10_3_neg,val_mean_pos_similarity,val_std_pos_similarity,val_mean_neg_similarity,val_std_neg_similarity,val_similarity_gap,val_median_pos_similarity,val_q1_pos_similarity,val_q3_pos_similarity,val_min_pos_similarity,val_max_pos_similarity,val_median_neg_similarity,val_q1_neg_similarity,val_q3_neg_similarity,val_min_neg_similarity,val_max_neg_similarity,val_similarity_gap_mean,val_similarity_gap_median,mean_pos_sim,mean_neg_sim,median_pos_sim,median_neg_sim,gap_mean,gap_median,std_pos_sim,std_neg_sim,finetuned,has_augmentation,has_triplet,architecture
clip_vit_b32_combined_tw01,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw01,11.0,{'accuracy_3_neg': 0.9380530973451328},clip,openai/clip-vit-base-patch32,infonce,True,0.1,False,False,True,20,0.9823008849557522,0.08849557522123894,0.17063839733600616,0.9779152635288589,0.9911504424778761,0.9934677832490524,0.9823008849557522,1.0,1.0,0.9557522123893806,0.09292035398230089,0.1706385314464569,0.9763489701621113,0.9778761061946902,0.9836694581226308,0.9557522123893806,1.0,1.0,0.9292035398230089,0.0855457227138643,0.1706388294696808,0.9761923408254365,0.9631268436578172,0.9727124626106214,0.9292035398230089,1.0,1.0,0.4386319623979914,0.14661918626802348,0.15057907298531373,0.2513474643627413,0.2880528894126777,0.4405129849910736,0.3405332788825035,0.548824280500412,0.005087217316031456,0.7461267113685608,0.06394627317786217,-0.053520042449235916,0.38653138279914856,-0.3069605231285095,0.7461267113685608,0.2880528894126777,0.37656671181321144,0.4386319623979914,0.15057907298531373,0.4405129849910736,0.06394627317786217,0.2880528894126777,0.37656671181321144,0.14661918626802348,0.2513474643627413,True,True,True,CLIP-B/32
siglip_combined_tw01_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/siglip_combined_tw01_noaug,14.0,{'accuracy_3_neg': 0.8672566371681416},siglip,google/siglip-base-patch16-224,sigmoid,True,0.1,False,False,False,30,0.911504424778761,0.11504424778761062,0.25019198656082153,0.9370350066567468,0.9557522123893806,0.9673389162452617,0.911504424778761,1.0,1.0,0.8938053097345132,0.13274336283185842,0.2511032819747925,0.9317879238781424,0.9410029498525074,0.9561720179519616,0.8938053097345132,1.0,1.0,0.8584070796460177,0.14454277286135694,0.2526381313800812,0.9299605816169368,0.9196165191740412,0.9401767618919289,0.8584070796460177,1.0,1.0,0.5271797153220429,0.11167784454898629,0.3295464300200902,0.19594185794387972,0.19763328530195268,0.5492987036705017,0.46709883213043213,0.6052588075399399,-0.009711392223834991,0.7558314204216003,0.3188256323337555,0.1729135364294052,0.5100447535514832,-0.21726295351982117,0.7558314204216003,0.19763328530195268,0.23047307133674622,0.5271797153220429,0.3295464300200902,0.5492987036705017,0.3188256323337555,0.19763328530195268,0.23047307133674622,0.11167784454898629,0.19594185794387972,True,False,True,SigLIP
siglip_combined_tw05,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/siglip_combined_tw05,26.0,{'accuracy_3_neg': 0.8938053097345132},siglip,google/siglip-base-patch16-224,sigmoid,True,0.5,False,False,True,30,0.9380530973451328,0.11504424778761062,0.2616156041622162,0.9427519774453755,0.9690265486725663,0.9771372413716833,0.9380530973451328,1.0,1.0,0.8938053097345132,0.12831858407079647,0.2616153657436371,0.9405591667319289,0.9439528023598819,0.9584893587231379,0.8938053097345132,1.0,1.0,0.8761061946902655,0.12684365781710916,0.2616155445575714,0.9410290547419532,0.9328908554572272,0.9501849897996409,0.8761061946902655,1.0,1.0,0.5447802302859178,0.1296067737348051,0.3034604243960862,0.22863753116803465,0.2413198058898316,0.5716016590595245,0.4882764294743538,0.62944096326828,-0.005390651524066925,0.8079878091812134,0.2715858072042465,0.12179173156619072,0.5264138579368591,-0.30366963148117065,0.8079878091812134,0.2413198058898316,0.300015851855278,0.5447802302859178,0.3034604243960862,0.5716016590595245,0.2715858072042465,0.2413198058898316,0.300015851855278,0.1296067737348051,0.22863753116803465,True,True,True,SigLIP
clip_vit_b32_combined_tw04_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw04_noaug,1.0,{'accuracy_3_neg': 0.9203539823008849},clip,openai/clip-vit-base-patch32,infonce,True,0.4,False,False,False,20,0.9469026548672567,0.11504424778761062,0.16959647834300995,0.9614691831780092,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.911504424778761,0.11504424778761062,0.15563803911209106,0.9591197431278878,0.9542772861356933,0.9661802458596735,0.911504424778761,1.0,1.0,0.8849557522123894,0.10914454277286136,0.15563876926898956,0.9578928133239355,0.9387905604719764,0.9546097685607029,0.8849557522123894,1.0,1.0,0.3047594338895874,0.10997958824527358,0.12968606667003074,0.16432148244668088,0.17507336721955669,0.30569231510162354,0.21855105832219124,0.3848470449447632,-0.007766092661768198,0.5332620739936829,0.08892970532178879,0.001973198028281331,0.2511803209781647,-0.19054833054542542,0.5332620739936829,0.17507336721955669,0.21676260977983475,0.3047594338895874,0.12968606667003074,0.30569231510162354,0.08892970532178879,0.17507336721955669,0.21676260977983475,0.10997958824527358,0.16432148244668088,True,False,True,CLIP-B/32
clip_vit_b32_combined_tw05,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw05,9.0,{'accuracy_3_neg': 0.9380530973451328},clip,openai/clip-vit-base-patch32,infonce,True,0.5,False,False,True,20,0.9823008849557522,0.09734513274336283,0.1581917703151703,0.9772887461821599,0.9911504424778761,0.9934677832490524,0.9823008849557522,1.0,1.0,0.9646017699115044,0.09292035398230089,0.15819203853607178,0.976779700837967,0.9823008849557522,0.9869355664981047,0.9646017699115044,1.0,1.0,0.9380530973451328,0.09734513274336283,0.15405955910682678,0.9758529772626413,0.9690265486725663,0.9771372413716833,0.9380530973451328,1.0,1.0,0.41511495590845987,0.14753850643197375,0.14051062709016862,0.24291995970214186,0.2746043288182912,0.4198443740606308,0.31206850707530975,0.523518830537796,0.014497490599751472,0.7264724969863892,0.06469971686601639,-0.055539255030453205,0.352556049823761,-0.3108210861682892,0.7264724969863892,0.2746043288182912,0.3551446571946144,0.41511495590845987,0.14051062709016862,0.4198443740606308,0.06469971686601639,0.2746043288182912,0.3551446571946144,0.14753850643197375,0.24291995970214186,True,True,True,CLIP-B/32
tinyclip_combined_tw05_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw05_noaug,6.0,{'accuracy_3_neg': 0.911504424778761},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.5,False,False,False,20,0.9734513274336283,0.13274336283185842,0.14325028657913208,0.963896937896468,0.9867256637168141,0.9902016748735786,0.9734513274336283,1.0,1.0,0.9292035398230089,0.12389380530973451,0.1432502567768097,0.9616258125146839,0.9631268436578172,0.9727124626106214,0.9292035398230089,1.0,1.0,0.8761061946902655,0.1415929203539823,0.14325037598609924,0.9581277573289477,0.9351032448377582,0.9519571419721902,0.8761061946902655,1.0,1.0,0.4438922788239864,0.14665875306361711,0.15919796726325955,0.24918969988372558,0.2846943115607269,0.46682366728782654,0.3336535319685936,0.5513829439878464,-0.08692803233861923,0.7334413528442383,0.08167336136102676,-0.042606767266988754,0.38645440340042114,-0.33254700899124146,0.7334413528442383,0.2846943115607269,0.3851503059267998,0.4438922788239864,0.15919796726325955,0.46682366728782654,0.08167336136102676,0.2846943115607269,0.3851503059267998,0.14665875306361711,0.24918969988372558,True,False,True,TinyCLIP
tinyclip_combined_tw04,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw04,7.0,{'accuracy_3_neg': 0.9292035398230089},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.4,False,False,True,20,0.9911504424778761,0.07964601769911504,0.150724396109581,0.9765839141671235,0.995575221238938,0.9967338916245261,0.9911504424778761,1.0,1.0,0.9557522123893806,0.07964601769911504,0.1507243514060974,0.9743519461195081,0.9778761061946902,0.9836694581226308,0.9557522123893806,1.0,1.0,0.9203539823008849,0.09144542772861357,0.16274388134479523,0.9710757824940611,0.9587020648967551,0.9694463542351475,0.9203539823008849,1.0,1.0,0.4389996894642832,0.13311419030655722,0.1513896958534807,0.24982684736848587,0.28760999361080253,0.45744480192661285,0.3550659865140915,0.5389343649148941,-0.02225777879357338,0.6970350742340088,0.07654549181461334,-0.0563960000872612,0.39316004514694214,-0.35153675079345703,0.6970350742340088,0.28760999361080253,0.3808993101119995,0.4389996894642832,0.1513896958534807,0.45744480192661285,0.07654549181461334,0.28760999361080253,0.3808993101119995,0.13311419030655722,0.24982684736848587,True,True,True,TinyCLIP
siglip_combined_tw03,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/siglip_combined_tw03,27.0,{'accuracy_3_neg': 0.911504424778761},siglip,google/siglip-base-patch16-224,sigmoid,True,0.3,False,False,True,30,0.9380530973451328,0.12389380530973451,0.2632792592048645,0.941812201425327,0.9690265486725663,0.9771372413716833,0.9380530973451328,1.0,1.0,0.911504424778761,0.12831858407079647,0.26914143562316895,0.9419296734278331,0.9513274336283186,0.9638629050884975,0.911504424778761,1.0,1.0,0.9026548672566371,0.13274336283185842,0.2642418146133423,0.9423865089931344,0.9446902654867256,0.9588246445404743,0.9026548672566371,1.0,1.0,0.5488118683404433,0.12865317178372968,0.3168079970499611,0.22134974128959434,0.23200387129048217,0.5719077885150909,0.49390416592359543,0.6316928267478943,0.024820175021886826,0.8020269274711609,0.29179131984710693,0.14021199941635132,0.5269454717636108,-0.2660578191280365,0.8020269274711609,0.23200387129048217,0.280116468667984,0.5488118683404433,0.3168079970499611,0.5719077885150909,0.29179131984710693,0.23200387129048217,0.280116468667984,0.12865317178372968,0.22134974128959434,True,True,True,SigLIP
tinyclip_infonce,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_infonce,7.0,{'accuracy_3_neg': 0.9380530973451328},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,False,0.2,False,False,True,20,0.9911504424778761,0.09734513274336283,0.1519785076379776,0.9803430182473176,0.995575221238938,0.9967338916245261,0.9911504424778761,1.0,1.0,0.9557522123893806,0.10176991150442478,0.1519785225391388,0.9775236901871721,0.9778761061946902,0.9836694581226308,0.9557522123893806,1.0,1.0,0.911504424778761,0.07669616519174041,0.17423421144485474,0.9745216279009059,0.9557522123893806,0.9673389162452617,0.911504424778761,1.0,1.0,0.44130989286775996,0.1319908165095468,0.15263243062595264,0.2508378157155224,0.28867746224180735,0.4584924131631851,0.35809678584337234,0.5451456606388092,-0.03250264376401901,0.7054283022880554,0.07593196630477905,-0.05369832366704941,0.39783525466918945,-0.3597627878189087,0.7054283022880554,0.28867746224180735,0.38256044685840607,0.44130989286775996,0.15263243062595264,0.4584924131631851,0.07593196630477905,0.28867746224180735,0.38256044685840607,0.1319908165095468,0.2508378157155224,True,True,False,TinyCLIP
tinyclip_combined_tw05,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw05,3.0,{'accuracy_3_neg': 0.9469026548672567},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.5,False,False,True,20,0.9911504424778761,0.07964601769911504,0.15833589434623718,0.9816743676090532,0.995575221238938,0.9967338916245261,0.9911504424778761,1.0,1.0,0.9557522123893806,0.07079646017699115,0.1583358496427536,0.9789333542172449,0.9778761061946902,0.9836694581226308,0.9557522123893806,1.0,1.0,0.9292035398230089,0.07964601769911504,0.15833590924739838,0.9764533897198946,0.9646017699115044,0.9738711329962094,0.9292035398230089,1.0,1.0,0.40045611528922026,0.12466885248118506,0.1432759832368984,0.22883681475866746,0.2571801320523218,0.41626863181591034,0.3202199190855026,0.49046024680137634,-0.015013437718153,0.6442114114761353,0.07507694512605667,-0.04485978186130524,0.36857736110687256,-0.3136952817440033,0.6442114114761353,0.2571801320523218,0.34119168668985367,0.40045611528922026,0.1432759832368984,0.41626863181591034,0.07507694512605667,0.2571801320523218,0.34119168668985367,0.12466885248118506,0.22883681475866746,True,True,True,TinyCLIP
clip_vit_b32_combined_tw01_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw01_noaug,1.0,{'accuracy_3_neg': 0.9292035398230089},clip,openai/clip-vit-base-patch32,infonce,True,0.1,False,False,False,20,0.9469026548672567,0.10619469026548672,0.17387443780899048,0.9624089591980578,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.9203539823008849,0.09734513274336283,0.16071616113185883,0.9606468791604668,0.9587020648967552,0.9694463542351475,0.9203539823008849,1.0,1.0,0.8938053097345132,0.0943952802359882,0.1607159972190857,0.9591719529067794,0.9432153392330384,0.9578758769361767,0.8938053097345132,1.0,1.0,0.3041301703769562,0.11039874601732466,0.1296082444347027,0.16393778089668043,0.17452192594225352,0.307000994682312,0.2204497642815113,0.3833713158965111,-0.005622353404760361,0.5348687767982483,0.09119050949811935,0.0018138336017727852,0.25173360109329224,-0.19165831804275513,0.5348687767982483,0.17452192594225352,0.21581048518419266,0.3041301703769562,0.1296082444347027,0.307000994682312,0.09119050949811935,0.17452192594225352,0.21581048518419266,0.11039874601732466,0.16393778089668043,True,False,True,CLIP-B/32
